Riversystem uTAHPS reservoir fractions [fr] 
YYYY MM DD HH HJELLE GRESSE TOPPSY KROKNESVATN 
2023 3 14 0 0.7422 0.2810 1.0330 1.0606 
2023 3 15 0 0.7097 0.2815 1.0346 1.0606 
2023 3 16 0 0.6767 0.2820 1.0361 1.0606 
2023 3 17 0 0.6442 0.2825 1.0376 1.0607 
2023 3 18 0 0.6128 0.2832 1.0391 1.0609 
2023 3 19 0 0.5810 0.2838 1.0406 1.0612 
2023 3 20 0 0.5498 0.2845 1.0420 1.0616 
2023 3 21 0 0.5187 0.2852 1.0434 1.0621 
2023 3 22 0 0.4877 0.2859 1.0448 1.0626 
2023 3 23 0 0.4576 0.2867 1.0462 1.0633 
2023 3 24 0 0.4295 0.2877 1.0477 1.0642 
2023 3 25 0 0.4036 0.2890 1.0493 1.0655 
2023 3 26 0 0.3788 0.2903 1.0508 1.0667 
2023 3 27 0 0.3547 0.2917 1.0523 1.0680 
2023 3 28 0 0.3313 0.2931 1.0537 1.0691 
2023 3 29 0 0.3064 0.2942 1.0549 1.0699 
2023 3 30 0 0.2808 0.2953 1.0559 1.0706 
2023 3 31 0 0.2803 0.2973 1.0565 1.0712 
2023 4 1 0 0.3515 0.3024 1.0564 1.0720 
2023 4 2 0 0.4173 0.3071 1.0559 1.0728 
2023 4 3 0 0.4603 0.3102 1.0550 1.0736 
2023 4 4 0 0.4875 0.3122 1.0536 1.0741 
2023 4 5 0 0.5096 0.3139 1.0523 1.0745 
2023 4 6 0 0.5292 0.3154 1.0508 1.0748 
2023 4 7 0 0.5454 0.3167 1.0494 1.0751 
2023 4 8 0 0.5596 0.3178 1.0480 1.0753 
2023 4 9 0 0.5724 0.3189 1.0466 1.0755 
2023 4 10 0 0.5855 0.3199 1.0454 1.0758 
2023 4 11 0 0.6163 0.3227 1.0457 1.0789 
2023 4 12 0 0.6153 0.3189 1.0447 1.0814 
2023 4 13 0 0.6143 0.3151 1.0440 1.0846 
2023 4 14 0 0.6174 0.3118 1.0436 1.0884 
2023 4 15 0 0.6191 0.3084 1.0432 1.0921 
2023 4 16 0 0.6209 0.3049 1.0429 1.0956 
2023 4 17 0 0.6244 0.3017 1.0427 1.0993 
2023 4 18 0 0.6305 0.2987 1.0426 1.1031 
2023 4 19 0 0.6393 0.2959 1.0427 1.1070 
2023 4 20 0 0.6541 0.2936 1.0430 1.1111 
2023 4 21 0 0.6776 0.2920 1.0437 1.1156 
2023 4 22 0 0.7099 0.2912 1.0447 1.1205 
2023 4 23 0 0.7541 0.2918 1.0469 1.1273 
2023 4 24 0 0.7973 0.2924 1.0491 1.1343 
2023 4 25 0 0.8330 0.2923 1.0507 1.1405 
2023 4 26 0 0.8594 0.2912 1.0516 1.1456 
2023 4 27 0 0.8763 0.2892 1.0518 1.1495 
2023 4 28 0 0.8876 0.2865 1.0516 1.1526 
2023 4 29 0 0.8959 0.2835 1.0510 1.1551 
2023 4 30 0 0.9022 0.2803 1.0503 1.1572 
2023 5 1 0 0.9075 0.2770 1.0495 1.1591 
2023 5 2 0 0.9145 0.2738 1.0489 1.1610 
2023 5 3 0 0.9237 0.2708 1.0483 1.1630 
2023 5 4 0 0.9336 0.2678 1.0478 1.1650 
2023 5 5 0 0.9421 0.2647 1.0472 1.1667 
2023 5 6 0 0.9476 0.2613 1.0464 1.1680 
2023 5 7 0 0.9503 0.2578 1.0457 1.1695 
2023 5 8 0 0.9551 0.2545 1.0452 1.1714 
2023 5 9 0 0.9719 0.2525 1.0458 1.1747 
2023 5 10 0 1.0173 0.2538 1.0488 1.1818 
2023 5 11 0 1.0860 0.2613 1.0543 1.1898 
2023 5 12 0 1.1715 0.2724 1.0614 1.1974 
2023 5 13 0 1.2507 0.2844 1.0696 1.2042 
2023 5 14 0 1.3152 0.2962 1.0784 1.2097 
2023 5 15 0 1.3898 0.3097 1.0883 1.2143 
2023 5 16 0 1.4817 0.3256 1.0998 1.2180 
2023 5 17 0 1.5238 0.3386 1.1104 1.2205 
2023 5 18 0 1.5277 0.3487 1.1194 1.2218 
2023 5 19 0 1.5178 0.3575 1.1273 1.2223 
2023 5 20 0 1.5082 0.3661 1.1347 1.2230 
2023 5 21 0 1.4955 0.3744 1.1415 1.2237 
2023 5 22 0 1.4822 0.3825 1.1478 1.2245 
2023 5 23 0 1.4876 0.3926 1.1554 1.2273 
2023 5 24 0 1.4967 0.4029 1.1626 1.2291 
2023 5 25 0 1.4972 0.4124 1.1690 1.2300 
2023 5 26 0 1.5008 0.4217 1.1748 1.2299 
2023 5 27 0 1.4954 0.4302 1.1796 1.2292 
2023 5 28 0 1.4744 0.4370 1.1832 1.2281 
2023 5 29 0 1.4397 0.4421 1.1854 1.2267 
2023 5 30 0 1.4027 0.4464 1.1865 1.2251 
2023 5 31 0 1.3666 0.4502 1.1867 1.2235 
2023 6 1 0 1.3326 0.4534 1.1862 1.2219 
2023 6 2 0 1.2993 0.4562 1.1849 1.2202 
2023 6 3 0 1.2679 0.4585 1.1830 1.2186 
2023 6 4 0 1.2397 0.4606 1.1806 1.2170 
2023 6 5 0 1.2143 0.4624 1.1777 1.2155 
2023 6 6 0 1.1911 0.4640 1.1745 1.2140 
2023 6 7 0 1.1699 0.4654 1.1709 1.2126 
2023 6 8 0 1.1507 0.4666 1.1671 1.2112 
2023 6 9 0 1.1333 0.4676 1.1631 1.2099 
2023 6 10 0 1.1176 0.4685 1.1589 1.2086 
2023 6 11 0 1.1035 0.4692 1.1546 1.2074 
2023 6 12 0 1.0910 0.4698 1.1502 1.2062 
2023 6 13 0 1.0800 0.4704 1.1458 1.2051 
2023 6 14 0 1.0702 0.4709 1.1414 1.2040 
2023 6 15 0 1.0618 0.4713 1.1370 1.2031 
2023 6 16 0 1.0545 0.4717 1.1326 1.2021 
2023 6 17 0 1.0482 0.4721 1.1283 1.2013 
2023 6 18 0 1.0428 0.4724 1.1240 1.2005 
2023 6 19 0 1.0384 0.4728 1.1199 1.1997 
2023 6 20 0 1.0351 0.4731 1.1159 1.1988 
2023 6 21 0 1.0340 0.4736 1.1120 1.1978 
2023 6 22 0 1.0437 0.4750 1.1087 1.1967 
2023 6 23 0 1.0475 0.4760 1.1054 1.1955 
2023 6 24 0 1.0473 0.4767 1.1022 1.1943 
2023 6 25 0 1.0448 0.4772 1.0991 1.1930 
2023 6 26 0 1.0417 0.4777 1.0960 1.1916 
2023 6 27 0 1.0388 0.4781 1.0930 1.1903 
2023 6 28 0 1.0364 0.4786 1.0901 1.1889 
2023 6 29 0 1.0343 0.4790 1.0872 1.1874 
2023 6 30 0 1.0325 0.4794 1.0845 1.1860 
2023 7 1 0 1.0305 0.4798 1.0818 1.1845 
2023 7 2 0 1.0289 0.4803 1.0793 1.1831 
2023 7 3 0 1.0276 0.4807 1.0768 1.1816 
2023 7 4 0 1.0272 0.4812 1.0745 1.1802 
2023 7 5 0 1.0269 0.4817 1.0723 1.1788 
2023 7 6 0 1.0273 0.4823 1.0702 1.1774 
2023 7 7 0 1.0297 0.4831 1.0683 1.1760 
2023 7 8 0 1.0369 0.4842 1.0666 1.1744 
2023 7 9 0 1.0437 0.4854 1.0650 1.1728 
2023 7 10 0 1.0477 0.4865 1.0636 1.1712 
2023 7 11 0 1.0499 0.4875 1.0623 1.1699 
2023 7 12 0 1.0535 0.4889 1.0614 1.1690 
2023 7 13 0 1.0546 0.4900 1.0605 1.1679 
2023 7 14 0 1.0536 0.4910 1.0594 1.1668 
2023 7 15 0 1.0541 0.4921 1.0586 1.1659 
2023 7 16 0 1.0633 0.4944 1.0589 1.1666 
2023 7 17 0 1.0787 0.4978 1.0601 1.1685 
2023 7 18 0 1.0877 0.5007 1.0610 1.1699 
2023 7 19 0 1.0645 0.4961 1.0599 1.1703 
2023 7 20 0 1.0422 0.4912 1.0585 1.1710 
2023 7 21 0 1.0216 0.4860 1.0567 1.1714 
2023 7 22 0 1.0030 0.4806 1.0545 1.1715 
2023 7 23 0 0.9847 0.4752 1.0523 1.1715 
2023 7 24 0 0.9649 0.4696 1.0501 1.1712 
2023 7 25 0 0.9435 0.4638 1.0479 1.1707 
2023 7 26 0 0.9212 0.4580 1.0456 1.1701 
2023 7 27 0 0.8981 0.4521 1.0434 1.1693 
2023 7 28 0 0.8743 0.4460 1.0412 1.1683 
2023 7 29 0 0.8502 0.4399 1.0390 1.1672 
2023 7 30 0 0.8276 0.4339 1.0369 1.1659 
2023 7 31 0 0.8152 0.4286 1.0351 1.1645 
2023 8 1 0 0.7984 0.4229 1.0332 1.1631 
2023 8 2 0 0.7769 0.4169 1.0312 1.1615 
2023 8 3 0 0.7533 0.4107 1.0293 1.1600 
2023 8 4 0 0.7287 0.4045 1.0275 1.1584 
2023 8 5 0 0.7037 0.3982 1.0257 1.1568 
2023 8 6 0 0.6782 0.3919 1.0239 1.1552 
2023 8 7 0 0.6520 0.3856 1.0222 1.1535 
2023 8 8 0 0.6312 0.3798 1.0210 1.1524 
2023 8 9 0 0.6155 0.3743 1.0198 1.1512 
2023 8 10 0 0.5990 0.3687 1.0186 1.1498 
2023 8 11 0 0.5854 0.3633 1.0175 1.1484 
2023 8 12 0 0.5675 0.3575 1.0162 1.1468 
2023 8 13 0 0.5465 0.3516 1.0150 1.1452 
2023 8 14 0 0.5245 0.3455 1.0138 1.1436 
2023 8 15 0 0.5107 0.3404 1.0132 1.1431 
2023 8 16 0 0.5003 0.3356 1.0130 1.1431 
2023 8 17 0 0.4862 0.3304 1.0126 1.1427 
2023 8 18 0 0.4691 0.3250 1.0120 1.1421 
2023 8 19 0 0.4508 0.3195 1.0114 1.1414 
2023 8 20 0 0.4409 0.3149 1.0115 1.1418 
2023 8 21 0 0.4263 0.3098 1.0112 1.1417 
2023 8 22 0 0.4087 0.3044 1.0108 1.1412 
2023 8 23 0 0.3891 0.2988 1.0102 1.1405 
2023 8 24 0 0.3679 0.2931 1.0095 1.1396 
2023 8 25 0 0.3494 0.2876 1.0090 1.1391 
2023 8 26 0 0.3372 0.2828 1.0091 1.1394 
2023 8 27 0 0.3259 0.2781 1.0093 1.1399 
2023 8 28 0 0.3105 0.2730 1.0091 1.1398 
2023 8 29 0 0.2922 0.2676 1.0087 1.1393 
2023 8 30 0 0.2721 0.2619 1.0082 1.1386 
2023 8 31 0 0.2508 0.2562 1.0076 1.1378 
